"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.185318800E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.685318800E-2,-7.780790329E-2,2.742624283E-2,1.315217018E-1
2.185318800E-2,-2.092041969E-1,4.820108414E-2,3.084087372E-1
2.685318800E-2,-3.193140030E-1,8.588743210E-2,5.020527840E-1
3.185318800E-2,-3.756818771E-1,6.333971024E-2,6.955814362E-1
3.685318800E-2,-3.252654076E-1,1.094951630E-1,8.818063736E-1
4.185318800E-2,-3.347425461E-1,1.158680916E-1,1.163869381E0
4.685318800E-2,-3.249688148E-1,6.815862656E-2,1.549506187E0
5.185318800E-2,-2.258949280E-1,-4.939126968E-2,1.987523079E0
5.685318800E-2,-2.206516266E-2,-1.216778755E-1,2.388366699E0
6.185318800E-2,1.592183113E-1,-2.750635147E-1,2.639464378E0
6.685318800E-2,3.453540802E-1,-4.063754082E-1,2.833780289E0
7.185318800E-2,5.227582455E-1,-4.927520752E-1,2.957418442E0
7.685318800E-2,6.923942566E-1,-5.386505127E-1,2.962416649E0
8.185318800E-2,7.806863785E-1,-5.904865265E-1,2.739020348E0
8.685318800E-2,7.841966152E-1,-5.677213669E-1,2.376363754E0
9.185318800E-2,7.111153603E-1,-5.383009911E-1,1.969843864E0
9.685318800E-2,5.803942680E-1,-4.506235123E-1,1.515136719E0
1.018531880E-1,4.041728973E-1,-3.235974312E-1,1.045061111E0
1.068531880E-1,1.674647331E-1,-2.048707008E-1,5.351238251E-1
1.118531880E-1,-9.261274338E-2,-1.037216187E-1,8.282852173E-2
1.168531880E-1,-3.280265331E-1,-1.513385773E-2,-3.387145996E-1
1.218531880E-1,-4.779579639E-1,7.309913635E-2,-6.518697739E-1
1.268531880E-1,-6.337573528E-1,1.342859268E-1,-8.111858368E-1
1.318531880E-1,-7.055063248E-1,1.286802292E-1,-8.424806595E-1
1.368531880E-1,-6.609086990E-1,5.960035324E-2,-7.553901672E-1
1.418531880E-1,-5.506594181E-1,-6.822872162E-2,-5.728292465E-1
1.468531880E-1,-4.650328159E-1,-2.393727303E-1,-2.850351334E-1
1.518531880E-1,-3.491554260E-1,-4.072523117E-1,3.683567047E-2
1.568531880E-1,-2.046391964E-1,-5.590734482E-1,3.287506104E-1
1.618531880E-1,-7.350564003E-2,-6.922574043E-1,5.498065948E-1
1.668531880E-1,1.320362091E-3,-8.444666862E-1,7.006216049E-1
1.718531880E-1,4.407215118E-2,-9.358382225E-1,8.248558044E-1
1.768531880E-1,1.410934925E-1,-1.039639235E0,8.601264954E-1
1.818531880E-1,2.483100891E-1,-1.126908541E0,8.321304321E-1
1.868531880E-1,3.477702141E-1,-1.208576441E0,6.607408524E-1
1.918531880E-1,4.847278595E-1,-1.293150425E0,4.363107681E-1
1.968531880E-1,5.534276962E-1,-1.278869629E0,2.126836777E-1
2.018531880E-1,6.620566845E-1,-1.270509958E0,-6.676769257E-2
2.068531880E-1,7.859261036E-1,-1.261417150E0,-3.764791489E-1
2.118531880E-1,9.314587116E-1,-1.244653225E0,-7.052345276E-1
2.168531880E-1,1.035868406E0,-1.171088457E0,-1.025802612E0
2.218531880E-1,1.078457952E0,-1.114544153E0,-1.371684074E0
2.268531880E-1,1.047284484E0,-1.071990252E0,-1.733371735E0
2.318531880E-1,1.003556252E0,-1.058299541E0,-2.099839211E0
2.368531880E-1,9.623379707E-1,-1.052639008E0,-2.419442177E0
2.418531880E-1,9.202626944E-1,-1.056228876E0,-2.704902172E0
2.468531880E-1,8.935149908E-1,-1.077357531E0,-2.908399105E0
2.518531880E-1,8.476684093E-1,-1.091371298E0,-3.062464714E0
2.568531880E-1,7.817260027E-1,-1.126576900E0,-3.189736843E0
2.618531880E-1,7.292330265E-1,-1.138118505E0,-3.266028881E0
2.668531880E-1,7.182588577E-1,-1.095848799E0,-3.251401901E0
2.718531880E-1,6.347674131E-1,-1.075394392E0,-3.134117603E0
2.768531880E-1,5.370227098E-1,-1.047059774E0,-2.945489407E0
2.818531880E-1,4.319300652E-1,-1.018234730E0,-2.654075146E0
2.868531880E-1,3.202531338E-1,-9.913218021E-1,-2.291290283E0
2.918531880E-1,2.454340458E-1,-9.645116329E-1,-1.922044277E0
2.968531880E-1,2.671308517E-1,-9.009349346E-1,-1.583632469E0
3.018531880E-1,3.069760799E-1,-8.672559261E-1,-1.236127853E0
3.068531880E-1,3.408827782E-1,-8.097982407E-1,-9.188156128E-1
3.118531880E-1,3.981981277E-1,-7.731208801E-1,-6.654281616E-1
3.168531880E-1,4.418073893E-1,-7.516877651E-1,-4.562816620E-1
3.218531880E-1,5.724861622E-1,-7.648425102E-1,-3.430328369E-1
3.268531880E-1,7.249281406E-1,-8.008234501E-1,-2.774429321E-1
3.318531880E-1,9.197641611E-1,-8.177592754E-1,-2.475681305E-1
3.368531880E-1,1.147580385E0,-8.597896099E-1,-2.868738174E-1
3.418531880E-1,1.260870814E0,-9.450011253E-1,-4.023275375E-1
3.468531880E-1,1.323722363E0,-9.209530354E-1,-5.784959793E-1
3.518531880E-1,1.403004646E0,-9.798402786E-1,-8.696269989E-1
3.568531880E-1,1.528568745E0,-9.582262039E-1,-1.046503067E0
3.618531880E-1,1.591794968E0,-8.657879829E-1,-1.224893570E0
3.668531880E-1,1.647877574E0,-7.900936604E-1,-1.480396271E0
3.718531880E-1,1.606933594E0,-7.122087479E-1,-1.783523560E0
3.768531880E-1,1.505044341E0,-6.567428112E-1,-2.151359558E0
3.818531880E-1,1.392230868E0,-5.873527527E-1,-2.522404671E0
3.868531880E-1,1.295565724E0,-5.109121799E-1,-2.812996387E0
3.918531880E-1,1.229973435E0,-4.245767593E-1,-3.036635399E0
3.968531880E-1,1.160403490E0,-3.226745129E-1,-3.197022438E0
4.018531880E-1,1.061960340E0,-2.328319550E-1,-3.298658848E0
4.068531880E-1,9.162917137E-1,-1.558170319E-1,-3.336118221E0
4.118531880E-1,7.793897390E-1,-6.321334839E-2,-3.314059258E0
4.168531880E-1,6.588726044E-1,2.506160736E-2,-3.243099689E0
4.218531880E-1,5.608820915E-1,8.673119545E-2,-3.162736893E0
4.268531880E-1,4.992245436E-1,1.067450047E-1,-3.074254036E0
4.318531880E-1,4.887771606E-1,1.101753712E-1,-2.993951321E0
4.368531880E-1,4.851887226E-1,9.926056862E-2,-2.902570248E0
4.418531880E-1,4.604393244E-1,9.023594856E-2,-2.790361881E0
4.468531880E-1,3.921051025E-1,9.712624550E-2,-2.618719578E0
4.518531880E-1,2.989330292E-1,8.627867699E-2,-2.412247181E0
4.568531880E-1,2.260589600E-1,8.218073845E-2,-2.184243679E0
4.618531880E-1,2.138094902E-1,7.826256752E-2,-1.977050304E0
4.668531880E-1,2.446452379E-1,6.069755554E-2,-1.800517559E0
