"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.485629050E-1,6.499221130E1,2.551751950E1,1.893059602E1,NaN,NaN,4.799300003E1,3.141062260E0
7.963681770E-1,6.499167184E1,2.551651511E1,1.707728739E1,1.049999952E0,2.110000038E1,1.070355606E1,1.542514038E1
3.091763020E0,6.499174117E1,2.551662211E1,2.817340697E1,9.300000072E-1,2.179999924E1,1.325380135E1,1.854874611E1
4.093867082E0,6.499177114E1,2.551650890E1,3.068828075E1,1.120000005E0,1.510000038E1,9.114531517E0,1.282186222E1
5.093130571E0,6.499176050E1,2.551650454E1,2.927353760E1,1.149999976E0,3.629999924E1,7.742251873E0,1.106022549E1
6.091881404E0,6.499177782E1,2.551655049E1,3.468974641E1,1.320000052E0,4.420000076E1,8.095252991E0,1.163781452E1
7.093882914E0,6.499177715E1,2.551656408E1,3.402470499E1,1.389999986E0,3.770000076E1,8.334459305E0,1.182812214E1
8.091916976E0,6.499176523E1,2.551656837E1,2.998709577E1,1.389999986E0,4.190000153E1,8.316196442E0,1.175917149E1
9.092103486E0,6.499177551E1,2.551664998E1,3.207608402E1,1.500000000E0,4.870000076E1,8.257490158E0,1.181091404E1
1.011187989E1,6.499177810E1,2.551664456E1,3.580350410E1,1.519999981E0,4.959999847E1,7.826406002E0,1.157366657E1
1.031924958E1,6.499176815E1,2.551656684E1,2.594077298E1,1.440000057E0,4.870000076E1,6.260632992E0,9.624672890E0
1.131869166E1,6.499177084E1,2.551657162E1,2.151908295E1,1.399999976E0,4.759999847E1,4.505347729E0,6.423765182E0
1.231866140E1,6.499178800E1,2.551659212E1,2.087847116E1,1.700000048E0,1.250000000E1,4.019173622E0,5.302353859E0
1.331872364E1,6.499180950E1,2.551658315E1,2.143458348E1,1.750000000E0,1.239999962E1,3.790092468E0,4.598930359E0
1.431878380E1,6.499182032E1,2.551659395E1,2.085549052E1,1.419999957E0,2.479999924E1,3.790092468E0,4.194372177E0
1.531854630E1,6.499183417E1,2.551660141E1,2.019748233E1,1.539999962E0,2.429999924E1,3.790092468E0,3.809851885E0
